"","zip","count"
"1",20707,1
"2",20833,1
"3",20861,1
"4",20889,1
"5",21794,1
"6",20832,2
"7",20837,2
"8",20860,2
"9",20841,3
"10",20816,4
"11",20905,4
"12",20866,5
"13",20815,6
"14",20851,6
"15",20903,6
"16",20854,8
"17",20872,8
"18",20882,8
"19",20814,10
"20",20855,12
"21",20871,14
"22",20895,14
"23",20817,18
"24",20901,19
"25",20853,20
"26",20879,20
"27",20876,22
"28",20886,25
"29",20910,31
"30",20902,40
"31",20904,40
"32",20850,43
"33",20878,43
"34",20877,50
"35",20906,51
"36",20852,56
"37",20874,62
