OBJECTID,ZIPCODE2,ZIPNAME,EXISTING,ZIPCODE1,Shape_Length,Shape_Area
1,02400121502,Cumberland,MDPV2017_18,21502,161775.467550011,441770403.160813
2,02400121521,Barton,MDPV2017_18,21521,29199.1742053562,38842463.4273563
3,02400121530,Flintstone,MDPV2017_18,21530,93603.135943123,267606760.809005
4,02400121532,Frostburg,MDPV2017_18,21532,58275.9507166473,188918095.795485
5,02400121539,Lonaconing,MDPV2017_18,21539,35065.6071654564,65669460.7667893
6,02400121540,Luke,MDPV2017_18,21540,3975.97687932779,1086396.71953745
7,02400121545,Mount Savage,MDPV2017_18,21545,40565.1569591792,91713411.2998259
8,02400121555,Oldtown,MDPV2017_18,21555,113604.856180121,423842264.580821
9,02400121557,Rawlings,MDPV2017_18,21557,66348.670262829,109637092.273646
10,02400121562,Westernport,MDPV2017_18,21562,45380.1992314589,54008206.6014767
11,02400121766,Little Orleans,MDPV2017_18,21766,102797.509633386,191406830.043812
12,02400521013,Baldwin,MDPV2017_18,21013,48079.9193930323,43949661.9203143
13,02400521030,Cockeysville,MDPV2017_18,21030,95693.9133553603,102445588.228076
14,02400521031,Hunt Valley,MDPV2017_18,21031,10423.3580419714,3173807.87162042
15,02400521043,Ellicott City,MDPV2017_18,21043,14559.5683064066,3633438.62030051
16,02400521051,Fork,MDPV2017_18,21051,8989.55511398731,1974385.14299821
17,02400521053,Freeland,MDPV2017_18,21053,54809.3272514984,92700676.0074241
18,02400521057,Glen Arm,MDPV2017_18,21057,50737.6091234337,68154983.9384178
19,02400521071,Glyndon,MDPV2017_18,21071,5317.80779674469,966187.723916703
20,02400521074,Hampstead,MDPV2017_18,21074,34277.9751033427,38848952.4558421
21,02400521082,Hydes,MDPV2017_18,21082,53073.0753989735,28731375.6097547
22,02400521085,Joppa,MDPV2017_18,21085,8592.47607174057,3687751.72015305
23,02400521087,Kingsville,MDPV2017_18,21087,49987.9636511691,58260944.9026667
24,02400521093,Lutherville Timonium,MDPV2017_18,21093,84276.6248839262,90272923.0969961
25,02400521102,Manchester,MDPV2017_18,21102,66224.6678931524,40004943.1038399
26,02400521104,Marriottsville,MDPV2017_18,21104,17582.8749916764,11972115.1130307
27,02400521111,Monkton,MDPV2017_18,21111,70303.6665306042,121793508.367388
28,02400521117,Owings Mills,MDPV2017_18,21117,80502.8705295689,132329612.610283
29,02400521120,Parkton,MDPV2017_18,21120,168038.078534149,195497674.540402
30,02400521128,Perry Hall,MDPV2017_18,21128,46881.4768548309,28973815.1785204
31,02400521131,Phoenix,MDPV2017_18,21131,77612.5521059552,90680487.4371769
32,02400521133,Randallstown,MDPV2017_18,21133,47371.0054000011,40174303.8654487
33,02400521136,Reisterstown,MDPV2017_18,21136,111199.692732871,237848076.464676
34,02400521152,Sparks Glencoe,MDPV2017_18,21152,69454.6802788873,106877552.951412
35,02400521153,Stevenson,MDPV2017_18,21153,25271.8054571109,13140280.2548857
36,02400521155,Upperco,MDPV2017_18,21155,56115.4440424628,94816916.1608039
37,02400521156,Upper Falls,MDPV2017_18,21156,14887.7710914515,4561565.50985326
38,02400521161,White Hall,MDPV2017_18,21161,56340.9619411719,99165850.8182752
39,02400521162,White Marsh,MDPV2017_18,21162,46672.5584964456,34803040.5361782
40,02400521163,Woodstock,MDPV2017_18,21163,40263.2713334053,41968181.4140765
41,02400521204,Towson,MDPV2017_18,21204,31806.3031824021,25125569.800724
42,02400521206,Baltimore,MDPV2017_18,21206,16179.6022830004,9091974.76181293
43,02400521207,Gwynn Oak,MDPV2017_18,21207,36982.6544307753,30630093.3469372
44,02400521208,Pikesville,MDPV2017_18,21208,52521.8873357084,56053917.0133329
45,02400521209,Baltimore,MDPV2017_18,21209,19934.4184057995,15639345.5013646
46,02400521210,Baltimore,MDPV2017_18,21210,5860.69152364923,1749911.70184218
47,02400521212,Baltimore,MDPV2017_18,21212,16515.2619073594,9164750.19292833
48,02400521215,Baltimore,MDPV2017_18,21215,6674.552729706,963001.029779619
49,02400521219,Sparrows Point,MDPV2017_18,21219,86925.3198488551,46446782.5564566
50,02400521220,Middle River,MDPV2017_18,21220,163580.604513553,99587864.6174466
51,02400521221,Essex,MDPV2017_18,21221,108729.4613244,65381115.6661275
52,02400521222,Dundalk,MDPV2017_18,21222,75789.9880061126,48041310.2558495
53,02400521224,Baltimore,MDPV2017_18,21224,16519.0378324645,10612803.8406402
54,02400521227,Halethorpe,MDPV2017_18,21227,35120.512931096,45430123.2808547
55,02400521228,Catonsville,MDPV2017_18,21228,47743.4772268292,66786728.2774348
56,02400521229,Baltimore,MDPV2017_18,21229,15449.7890826783,3763534.16955172
57,02400521234,Parkville,MDPV2017_18,21234,40937.6577443533,52833510.7121312
58,02400521235,Baltimore,MDPV2017_18,21235,5067.41053299171,1342148.92992992
59,02400521236,Nottingham,MDPV2017_18,21236,67632.3051798104,38778196.4256912
60,02400521237,Rosedale,MDPV2017_18,21237,59786.8990326398,48743807.1254407
61,02400521239,Baltimore,MDPV2017_18,21239,8464.78483304686,3399594.24611949
62,02400521241,Baltimore,MDPV2017_18,21241,3716.29757819621,459025.82515938
63,02400521244,Windsor Mill,MDPV2017_18,21244,39332.6819082529,62256880.9442504
64,02400521250,Baltimore,MDPV2017_18,21250,9462.40239931966,2858138.86948192
65,02400521252,Baltimore,MDPV2017_18,21252,9996.23838429237,1849624.8774632
66,02400521286,Towson,MDPV2017_18,21286,42481.1341687801,38282949.3236304
67,02400920615,Broomes Island,MDPV2017_18,20615,13039.3843047368,2983525.82230878
68,02400920629,Dowell,MDPV2017_18,20629,16220.9657803368,2820534.97285647
69,02400920639,Huntingtown,MDPV2017_18,20639,84618.1914564093,186529130.161413
70,02400920657,Lusby,MDPV2017_18,20657,111932.020614454,132860868.136888
71,02400920676,Port Republic,MDPV2017_18,20676,59700.1877879451,59569032.639938
72,02400920678,Prince Frederick,MDPV2017_18,20678,92935.9134245073,185368393.039407
73,02400920685,Saint Leonard,MDPV2017_18,20685,94120.1742985295,96881867.7498422
74,02400920688,Solomons,MDPV2017_18,20688,26330.4154286488,5334894.52041072
75,02400920689,Sunderland,MDPV2017_18,20689,28510.0497113485,30014596.0841498
76,02400920714,North Beach,MDPV2017_18,20714,9096.9601765915,3750335.7351985
77,02400920732,Chesapeake Beach,MDPV2017_18,20732,43689.0957447893,44314865.8637972
78,02400920736,Owings,MDPV2017_18,20736,73011.6735964732,108242225.245796
79,02400920754,Dunkirk,MDPV2017_18,20754,42737.577483472,59430115.3216489
80,02400920758,Friendship,MDPV2017_18,20758,5320.03749646101,887537.077155067
81,02401121629,Denton,MDPV2017_18,21629,207702.186306043,359673177.369512
82,02401121632,Federalsburg,MDPV2017_18,21632,111012.975116458,266107528.358838
83,02401121636,Goldsboro,MDPV2017_18,21636,76633.2587269627,99839857.6450415
84,02401121639,Greensboro,MDPV2017_18,21639,99970.1327521622,144399407.421933
85,02401121640,Henderson,MDPV2017_18,21640,72404.4916358937,84081102.8033887
86,02401121649,Marydel,MDPV2017_18,21649,38698.2710692223,44849431.1397697
87,02401121655,Preston,MDPV2017_18,21655,134885.015768613,229148149.56931
88,02401121657,Queen Anne,MDPV2017_18,21657,19514.8074257582,7564078.50541771
89,02401121660,Ridgely,MDPV2017_18,21660,79398.417162264,138656909.177004
90,02401321048,Finksburg,MDPV2017_18,21048,75995.5060825238,117124107.384093
91,02401321074,Hampstead,MDPV2017_18,21074,82846.341479791,125462543.955601
92,02401321102,Manchester,MDPV2017_18,21102,69898.6825975686,135053037.589022
93,02401321104,Marriottsville,MDPV2017_18,21104,32899.5175945385,29205917.5599606
94,02401321136,Reisterstown,MDPV2017_18,21136,14944.8078956008,9068093.22671536
95,02401321155,Upperco,MDPV2017_18,21155,20348.1929638083,9941560.68927056
96,02401321157,Westminster,MDPV2017_18,21157,148932.167177594,345912552.177848
97,02401321158,Westminster,MDPV2017_18,21158,107734.881593715,325019220.894486
