Zip,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,zip_2022_total,zip_overall_total,OBJECTID,ZIPCODE2,ZIPNAME,EXISTING,Shape_Length,Shape_Area
20772,16,27,56,62,53,58,60,65,88,110,84,103,102,123,113,112,127,113,136,118,119,1200,1845,490,02403320772,Upper Marlboro,MDPV_2017_18,110231.923025632,307409578.468668
21206,17,33,65,47,53,46,57,71,74,104,77,102,87,129,93,95,99,110,126,126,96,1098,1707,42,02400521206,Baltimore,MDPV2017_18,16179.6022830004,9091974.76181293
21206,17,33,65,47,53,46,57,71,74,104,77,102,87,129,93,95,99,110,126,126,96,1098,1707,315,02451021206,Raspeburg,MDPV2017_18,23252.9165602052,20418805.4310394
20774,5,22,47,61,58,47,55,54,68,114,74,73,83,93,110,95,109,126,136,118,123,1054,1671,465,02403320774,Upper Marlboro,MDPV_2017_18,10607.6612816754,5076091.99468279
20774,5,22,47,61,58,47,55,54,68,114,74,73,83,93,110,95,109,126,136,118,123,1054,1671,499,02403320774,Upper Marlboro,MDPV_2017_18,90294.9954540096,148661376.233971
20744,11,19,46,39,49,47,39,55,68,93,87,87,62,97,92,93,92,101,107,98,108,966,1490,497,02403320744,Fort Washington,MDPV_2017_18,64942.8365909646,123805078.515481
21207,13,13,51,49,43,38,64,48,56,81,69,67,65,93,84,85,80,100,132,94,96,892,1421,43,02400521207,Gwynn Oak,MDPV2017_18,36982.6544307753,30630093.3469372
21207,13,13,51,49,43,38,64,48,56,81,69,67,65,93,84,85,80,100,132,94,96,892,1421,316,02451021207,Gwynn Oak,MDPV2017_18,21028.6632776267,12682830.5393675
21222,9,20,42,41,53,42,54,44,69,85,62,84,69,70,91,82,89,89,102,101,83,888,1381,52,02400521222,Dundalk,MDPV2017_18,75789.9880061126,48041310.2558495
21222,9,20,42,41,53,42,54,44,69,85,62,84,69,70,91,82,89,89,102,101,83,888,1381,328,02451021222,Dundalk,MDPV2017_18,14643.0678488317,3207642.21388593
