"","Zip","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2020","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","Zip_total"
"1","20772",16,27,56,62,53,58,60,65,88,110,84,103,102,123,113,112,127,113,136,118,119,1200
"2","21206",17,33,65,47,53,46,57,71,74,104,77,102,87,129,93,95,99,110,126,126,96,1098
"3","20774",5,22,47,61,58,47,55,54,68,114,74,73,83,93,110,95,109,126,136,118,123,1054
"4","20744",11,19,46,39,49,47,39,55,68,93,87,87,62,97,92,93,92,101,107,98,108,966
"5","20743",9,22,35,41,50,47,52,53,61,76,62,91,66,94,82,89,81,93,92,88,95,900
"6","21207",13,13,51,49,43,38,64,48,56,81,69,67,65,93,84,85,80,100,132,94,96,892
"7","21222",9,20,42,41,53,42,54,44,69,85,62,84,69,70,91,82,89,89,102,101,83,888
"8","21215",10,25,47,57,41,31,54,38,51,96,59,80,64,79,76,92,71,83,105,88,86,843
"9","21229",6,18,43,52,40,42,63,48,60,87,64,53,68,73,89,83,74,74,99,75,87,836
"10","20735",6,21,30,43,48,56,41,53,57,77,46,65,61,79,72,73,77,95,102,93,90,796
"11","20747",12,11,39,28,33,44,50,50,52,65,44,73,57,89,83,72,77,69,90,85,68,781
"12","20748",2,15,21,38,33,27,39,45,43,71,61,63,63,76,72,67,60,85,83,80,63,745
"13","21234",11,23,40,41,37,39,57,36,56,67,46,70,52,75,73,73,63,64,87,62,72,732
"14","20601",9,14,26,32,20,17,27,30,51,48,55,42,73,71,70,89,68,84,96,78,76,708
"15","21122",11,16,35,36,44,35,38,38,33,59,42,61,52,64,51,77,63,73,75,56,67,651
"16","20706",10,13,31,34,32,29,27,29,42,59,32,65,50,66,66,61,56,68,82,64,60,621
"17","20785",11,17,17,19,24,30,34,50,45,61,40,49,54,60,71,46,44,54,50,59,54,608
"18","21220",4,8,42,31,21,29,37,34,44,37,39,56,41,69,62,59,58,62,66,59,47,598
"19","21740",13,15,33,35,32,24,34,35,42,59,44,52,44,62,52,56,47,56,59,56,50,583
"20","21133",6,12,28,30,25,31,27,29,40,45,36,45,51,64,38,64,59,66,80,65,67,564
"21","21213",18,16,39,33,44,24,30,36,34,65,50,47,36,51,53,52,40,58,63,74,67,552
